2022-05-18 15:38:27,862 Config file found!
2022-05-18 15:38:27,884 Starting Conpot using template: /usr/lib/python3.9/site-packages/conpot/templates/kamstrup_382
2022-05-18 15:38:27,884 Starting Conpot using configuration found in: /etc/conpot/conpot.cfg
2022-05-18 15:38:27,995 Serving tar:///usr/lib/python3.9/site-packages/conpot/data.tar as file system. File uploads will be kept at : /tmp/conpot
2022-05-18 15:38:27,996 Opening path /tmp/conpot for persistent storage of files.
2022-05-18 15:38:28,018 Initializing Virtual File System at /tmp/conpot/__conpot__831c45zm. Source specified : tar:///usr/lib/python3.9/site-packages/conpot/data.tar
 Please wait while the system copies all specified files
2022-05-18 15:38:28,362 Fetched 34.121.180.85 as external ip.
2022-05-18 15:38:28,372 Kamstrup management protocol server initialized.
2022-05-18 15:38:28,372 Found and enabled kamstrup_management protocol.
2022-05-18 15:38:28,413 Kamstrup protocol server initialized.
2022-05-18 15:38:28,414 Found and enabled kamstrup_meter protocol.
2022-05-18 15:38:28,415 No proxy template found. Service will remain unconfigured/stopped.
2022-05-18 15:38:28,415 Kamstrup management protocol server started on: ('0.0.0.0', 50100)
2022-05-18 15:38:28,416 Kamstrup protocol server started on: ('0.0.0.0', 1025)
2022-05-18 19:59:01,050 New kamstrup_protocol session from 162.142.125.220 (2dbb072d-2c5f-4a6f-b268-ee0a4ee95533)
2022-05-18 19:59:01,056 New Kamstrup connection from 162.142.125.220:46124. (2dbb072d-2c5f-4a6f-b268-ee0a4ee95533)
2022-05-18 19:59:02,162 New Kamstrup connection from 162.142.125.220:40742. (2dbb072d-2c5f-4a6f-b268-ee0a4ee95533)
2022-05-18 19:59:02,312 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x16
2022-05-18 19:59:02,313 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x3
2022-05-18 19:59:02,313 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1
2022-05-18 19:59:02,313 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,313 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xee
2022-05-18 19:59:02,313 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1
2022-05-18 19:59:02,314 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,314 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,314 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xea
2022-05-18 19:59:02,315 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x3
2022-05-18 19:59:02,315 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x3
2022-05-18 19:59:02,315 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x95
2022-05-18 19:59:02,316 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x95
2022-05-18 19:59:02,316 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x93
2022-05-18 19:59:02,316 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xb2
2022-05-18 19:59:02,317 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x30
2022-05-18 19:59:02,317 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x18
2022-05-18 19:59:02,317 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x57
2022-05-18 19:59:02,317 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x4a
2022-05-18 19:59:02,318 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xcb
2022-05-18 19:59:02,318 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xb0
2022-05-18 19:59:02,318 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x4
2022-05-18 19:59:02,319 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x17
2022-05-18 19:59:02,319 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xcf
2022-05-18 19:59:02,319 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x92
2022-05-18 19:59:02,319 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xb7
2022-05-18 19:59:02,320 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xab
2022-05-18 19:59:02,320 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xb7
2022-05-18 19:59:02,320 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x5e
2022-05-18 19:59:02,320 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xd1
2022-05-18 19:59:02,321 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x7b
2022-05-18 19:59:02,321 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xe2
2022-05-18 19:59:02,321 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x88
2022-05-18 19:59:02,321 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x99
2022-05-18 19:59:02,322 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x61
2022-05-18 19:59:02,322 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xbf
2022-05-18 19:59:02,322 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xc3
2022-05-18 19:59:02,322 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x25
2022-05-18 19:59:02,323 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x63
